Record_ID,Crash_ID,Latitude,Longitude,roadway_geometry_code,median_type,shoulder_context,ramp_interchange,bicycle_facility,review_status,review_note
2016_2003101,2016_200310,60.50091667,-150.9950167,,,,,,pending,
2016_6076701,2016_607670,34.07144444,-118.1239917,,,,,,pending,
2016_6245401,2016_624540,37.63144167,-122.087227799999,,,,,,pending,
2016_12140301,2016_1214030,27.931611109999896,-82.5763611099999,,,,,,pending,
2016_12144901,2016_1214490,26.68896944,-81.7985999999999,,,,,,pending,
2016_12226601,2016_1222660,26.318088889999895,-80.11615,,,,,,pending,
2016_22053201,2016_2205320,29.9663833299999,-90.0710972199999,,,,,,pending,
2016_45064901,2016_4506490,32.86621111,-80.00004443999988,,,,,,pending,
2016_47030701,2016_4703070,36.3127694399999,-88.77293056,,,,,,pending,
2016_48022901,2016_4802290,29.72396111,-95.49170277999987,,,,,,pending,
2016_48047801,2016_4804780,30.121127779999895,-93.76747777999987,,,,,,pending,
2016_48081001,2016_4808100,32.7765888899999,-97.31953056,,,,,,pending,
2016_48173601,2016_4817360,31.2166,-105.4882611,,,,,,pending,
2016_48181001,2016_4818100,35.1911388899999,-102.0711417,,,,,,pending,
2016_48185601,2016_4818560,32.84004444,-97.28581667,,,,,,pending,
2016_48298601,2016_4829860,31.03790833,-97.47188332999987,,,,,,pending,
2016_53017801,2016_5301780,48.74771389,-122.4648833,,,,,,pending,
2016_53028301,2016_5302830,45.7735138899999,-122.6704417,,,,,,pending,
2016_53042701,2016_5304270,47.04880833,-122.8203222,,,,,,pending,
2017_4018501,2017_401850,33.5374249999999,-112.1119083,,,,,,pending,
2017_6218001,2017_621800,34.07956111,-117.9980889,,,,,,pending,
2017_12225201,2017_1222520,27.99425833,-82.35915833,,,,,,pending,
2017_16017201,2017_1601720,47.66306111,-116.7473,,,,,,pending,
2017_17042001,2017_1704200,41.45786667,-90.49507778,,,,,,pending,
2017_25021401,2017_2502140,41.95897222,-71.0638333299999,,,,,,pending,
2017_37014601,2017_3701460,35.91586667,-80.00040278,,,,,,pending,
2017_48073501,2017_4807350,32.53999444,-96.82255277999987,,,,,,pending,
2017_48073502,2017_4807350,32.53999444,-96.82255277999987,,,,,,pending,
2017_48101101,2017_4810110,29.56001944,-98.341825,,,,,,pending,
2017_48131401,2017_4813140,26.4095,-97.78445555999987,,,,,,pending,
2017_48134701,2017_4813470,29.74239167,-96.32603056,,,,,,pending,
2017_48228301,2017_4822830,29.7076361099999,-95.50965832999987,,,,,,pending,
2017_48230901,2017_4823090,29.7923583299999,-95.08069166999987,,,,,,pending,
2017_53019501,2017_5301950,47.5876583299999,-122.3201944,,,,,,pending,
2018_4003601,2018_400360,33.55616667,-112.1130139,,,,,,pending,
2018_4043201,2018_404320,32.30693611,-109.395475,,,,,,pending,
2018_6056101,2018_605610,37.33043889,-121.8665861,,,,,,pending,
2018_6252001,2018_625200,37.33609167,-121.8574833,,,,,,pending,
2018_6343601,2018_634360,34.04690833,-118.4468139,,,,,,pending,
2018_12056101,2018_1205610,27.94078889,-82.32676944,,,,,,pending,
2018_40044701,2018_4004470,36.0878,-96.0403,,,,,,pending,
2018_48039901,2018_4803990,32.72973333,-97.78890556,,,,,,pending,
2018_48153901,2018_4815390,32.8623972199999,-96.89375278,,,,,,pending,
2018_48181701,2018_4818170,32.67160278,-96.98511944,,,,,,pending,
2018_48205601,2018_4820560,32.66806667,-97.23198888999987,,,,,,pending,
2018_48216801,2018_4821680,30.09518333,-94.10149721999989,,,,,,pending,
2019_6053701,2019_605370,32.6907138899999,-117.1229139,,,,,,pending,
2019_6194101,2019_619410,32.83299722,-117.1660556,,,,,,pending,
2019_6217901,2019_621790,33.9343277799999,-118.1769194,,,,,,pending,
2019_6303801,2019_630380,33.7996083299999,-118.1113167,,,,,,pending,
2019_13098901,2019_1309890,30.77611667,-83.29773611,,,,,,pending,
2019_29024601,2019_2902460,38.7757777799999,-90.33586110999987,,,,,,pending,
2019_29038801,2019_2903880,36.88741667,-94.43075,,,,,,pending,
2019_36009501,2019_3600950,40.76677222,-73.69566111,,,,,,pending,
2019_40028001,2019_4002800,35.5002861099999,-98.95706110999987,,,,,,pending,
2019_40038401,2019_4003840,35.22091111,-97.48589721999988,,,,,,pending,
2019_45051101,2019_4505110,32.875,-80.02648055999988,,,,,,pending,
2019_48033601,2019_4803360,29.610030559999895,-98.60382221999987,,,,,,pending,
2019_48192501,2019_4819250,29.78398333,-95.56266943999987,,,,,,pending,
2019_48266001,2019_4826600,29.51791111,-98.46682778,,,,,,pending,
2020_4021901,2020_402190,99.99989999999987,999.9999,,,,,,pending,
2020_4045401,2020_404540,31.37422222,-110.9354833,,,,,,pending,
2020_6033901,2020_603390,38.6471027799999,-121.3831972,,,,,,pending,
2020_6171401,2020_617140,33.6650388899999,-117.7935083,,,,,,pending,
2020_22042801,2020_2204280,30.235888889999895,-93.2142,,,,,,pending,
2020_29015901,2020_2901590,36.95113889,-94.42977777999987,,,,,,pending,
2020_34050901,2020_3405090,40.55235278,-74.48695277999988,,,,,,pending,
2020_40000101,2020_4000010,35.4573972199999,-95.4333,,,,,,pending,
2020_47098701,2020_4709870,36.06898056,-89.4035083299999,,,,,,pending,
2021_5002701,2021_500270,36.1741666699999,-94.18640555999987,,,,,,pending,
2021_5029701,2021_502970,34.6809277799999,-92.35297778,,,,,,pending,
2021_6068901,2021_606890,34.067525,-117.9815528,,,,,,pending,
2021_6126601,2021_612660,34.03928889,-118.0497417,,,,,,pending,
2021_6171501,2021_617150,32.73058056,-117.154736099999,,,,,,pending,
2021_6299701,2021_629970,38.25291389,-122.066916699999,,,,,,pending,
2021_6322601,2021_632260,37.82656389,-122.2866194,,,,,,pending,
2021_8042101,2021_804210,39.2898555599999,-104.8948556,,,,,,pending,
2021_18078601,2021_1807860,40.51878889,-85.54972222,,,,,,pending,
2021_27008601,2021_2700860,45.2993416699999,-93.79853056,,,,,,pending,
2021_29047801,2021_2904780,38.64480556,-90.34769443999987,,,,,,pending,
2021_34018501,2021_3401850,40.7122833299999,-74.20054167,,,,,,pending,
2021_36089301,2021_3608930,42.7120666699999,-73.82689166999988,,,,,,pending,
2021_41043701,2021_4104370,44.99995278,-122.9992694,,,,,,pending,
2021_47123101,2021_4712310,35.0153805599999,-85.2769444399999,,,,,,pending,
2021_48204701,2021_4820470,33.80338056,-101.837774999999,,,,,,pending,
2022_1074001,2022_107400,32.68672222,-85.32090556,,,,,,pending,
2022_2005801,2022_200580,61.1820916699999,-149.8602583,,,,,,pending,
2022_6024001,2022_602400,33.89490833,-118.1874806,,,,,,pending,
2022_6165301,2022_616530,34.0481305599999,-118.2145694,,,,,,pending,
2022_6173601,2022_617360,34.02113611,-118.2784389,,,,,,pending,
2022_6244501,2022_624450,40.58553056,-122.3651028,,,,,,pending,
2022_6327401,2022_632740,34.14719444,-117.3212639,,,,,,pending,
2022_20029701,2022_2002970,39.07081111,-94.6181805599999,,,,,,pending,
2022_22009201,2022_2200920,31.46349722,-92.79507221999987,,,,,,pending,
2022_22039601,2022_2203960,30.441108329999896,-91.01213056,,,,,,pending,
2022_46004001,2022_4600400,44.54680556,-96.75730833,,,,,,pending,
2022_47090601,2022_4709060,36.18658056,-86.27583056,,,,,,pending,
2022_47111901,2022_4711190,35.98838889,-86.5856388899999,,,,,,pending,
2022_48069101,2022_4806910,29.397008329999895,-98.64935556,,,,,,pending,
2022_48140701,2022_4814070,32.82665278,-97.20571110999987,,,,,,pending,
2022_48189001,2022_4818900,29.78448333,-95.57937499999989,,,,,,pending,
2022_48342901,2022_4834290,31.7694777799999,-106.4769083,,,,,,pending,
2022_51095001,2022_5109500,38.29684444,-77.50567499999988,,,,,,pending,
2023_5021801,2023_502180,36.04008056,-94.18953611,,,,,,pending,
2023_6190601,2023_619060,33.82568889,-118.2348583,,,,,,pending,
2023_6237501,2023_623750,37.87179167,-121.2788972,,,,,,pending,
2023_6269701,2023_626970,34.06399444,-117.270730599999,,,,,,pending,
2023_6343401,2023_634340,37.7321111099999,-122.4303556,,,,,,pending,
2023_13102901,2023_1310290,32.0743277799999,-81.0984972199999,,,,,,pending,
2023_17069501,2023_1706950,42.0525666699999,-87.7616555599999,,,,,,pending,
2023_17092801,2023_1709280,39.8170055599999,-89.64319722,,,,,,pending,
2023_18046801,2023_1804680,41.73051111,-86.34501111,,,,,,pending,
2023_22020201,2023_2202020,29.99236111,-90.0493,,,,,,pending,
2023_22038101,2023_2203810,30.02061111,-90.0137166699999,,,,,,pending,
2023_28037501,2023_2803750,32.2767388899999,-90.17649167,,,,,,pending,
2023_34023101,2023_3402310,40.74575833,-74.1606666699999,,,,,,pending,
2023_34049001,2023_3404900,40.71434722,-74.28063611,,,,,,pending,
2023_36071401,2023_3607140,42.6998027799999,-73.71229721999988,,,,,,pending,
2023_36072201,2023_3607220,43.1332833299999,-77.55301389,,,,,,pending,
2023_37064101,2023_3706410,34.620375,-79.21600277999988,,,,,,pending,
2023_40001701,2023_4000170,36.1462,-96.0035,,,,,,pending,
2023_48055801,2023_4805580,30.1324,-93.98439444,,,,,,pending,
2023_48100401,2023_4810040,29.69818056,-95.28968055999987,,,,,,pending,
2023_48244301,2023_4824430,34.0985444399999,-98.549225,,,,,,pending,
2023_48251401,2023_4825140,32.87071944,-96.89866388999987,,,,,,pending,
2023_48278101,2023_4827810,29.3851,-98.47050278,,,,,,pending,
2023_48308201,2023_4830820,29.520780559999896,-98.39389443999987,,,,,,pending,
2023_48348701,2023_4834870,29.8402638899999,-95.33357499999987,,,,,,pending,
2023_53070801,2023_5307080,47.2897027799999,-122.3011778,,,,,,pending,
2023_56005601,2023_5600560,41.60993611,-109.222927799999,,,,,,pending,
